time,temperature,humidity
2024-01-08 23:03:34.556484,22.2,46.7
2024-01-08 23:04:34.560836,22.2,46.8
2024-01-08 23:05:34.565944,22.2,46.8
2024-01-08 23:06:34.570469,22.2,47
2024-01-08 23:07:34.576285,22.2,47
2024-01-08 23:08:34.581061,22.2,47
2024-01-08 23:09:34.585220,22.2,47.7
2024-01-08 23:10:34.589193,22.2,47.9
2024-01-08 23:11:34.593437,22.2,47
2024-01-08 23:12:34.598159,22.2,46.8
2024-01-08 23:13:34.602904,22.2,46.9
2024-01-08 23:14:34.607116,22.2,46.9
2024-01-08 23:15:34.611585,22.2,46.8
2024-01-08 23:16:34.615648,22.2,46.8
2024-01-08 23:17:34.620508,22.2,46.8
2024-01-08 23:18:34.626247,22.2,46.8
2024-01-08 23:19:34.631332,22.2,46.8
2024-01-08 23:20:34.633077,22.2,46.8
2024-01-08 23:21:34.637044,22.1,46.7
2024-01-08 23:22:34.641161,22.1,46.9
2024-01-08 23:23:34.645811,22.1,46.9
2024-01-08 23:24:34.649599,22.1,47
2024-01-08 23:25:34.653613,22,47
2024-01-08 23:26:34.658037,22,47.1
2024-01-08 23:27:34.662096,22,47.1
2024-01-08 23:28:34.665914,22,47.2
2024-01-08 23:29:34.669723,22,47.2
2024-01-08 23:30:34.673975,22,47.1
2024-01-08 23:31:34.678114,22,47.1
2024-01-08 23:32:34.682380,21.9,47.2
2024-01-08 23:33:34.686755,21.9,47.2
2024-01-08 23:34:34.690424,22,47.2
2024-01-08 23:35:34.694600,22,47.2
2024-01-08 23:36:34.698711,22.1,47.1
2024-01-08 23:37:34.702752,22.1,47.1
2024-01-08 23:38:34.706852,22.1,47.1
2024-01-08 23:39:34.711318,22.1,47.1
2024-01-08 23:40:34.715474,22.1,47.8
2024-01-08 23:41:34.719891,22.2,48
2024-01-08 23:42:34.723879,22.3,47.7
2024-01-08 23:43:34.727400,22.3,47.2
2024-01-08 23:44:34.731333,22.2,47.1
2024-01-08 23:45:34.736098,22.2,47.2
2024-01-08 23:46:34.738521,22.1,47.1
2024-01-08 23:47:34.743902,22.1,47.2
2024-01-08 23:48:34.747897,22.1,47.2
2024-01-08 23:49:34.751891,22.1,47.3
2024-01-08 23:50:34.755315,22,47.4
2024-01-08 23:51:34.758982,22.1,47.2
2024-01-08 23:52:34.763475,22.1,47.2
2024-01-08 23:53:34.767192,22.1,47.2
2024-01-08 23:54:34.771334,22.1,47
2024-01-08 23:55:34.775348,22.1,47
2024-01-08 23:56:34.778820,22.1,47
2024-01-08 23:57:34.782348,22.4,47
2024-01-08 23:58:34.786185,22.3,47
2024-01-08 23:59:34.790203,22.2,47.1
2024-01-09 00:00:34.793821,22.2,46.8
2024-01-09 00:01:34.797228,22.2,46.7
2024-01-09 00:02:34.801034,22.2,46.6
2024-01-09 00:03:34.805046,22.2,46.6
2024-01-09 00:04:34.808486,22.2,46.6
2024-01-09 00:05:34.812963,22.2,46.7
2024-01-09 00:06:34.816792,22.2,46.8
2024-01-09 00:07:34.821027,22.2,48.4
2024-01-09 00:08:34.824695,22.1,47.5
2024-01-09 00:09:34.828262,22.1,47.3
2024-01-09 00:10:34.832608,22.1,47.1
2024-01-09 00:11:34.836292,22.1,47.4
2024-01-09 00:12:34.840097,22.1,47.2
2024-01-09 00:13:34.843352,22.1,47.5
2024-01-09 00:14:34.846684,22.1,47.2
2024-01-09 00:15:34.850830,22.1,46.7
2024-01-09 00:16:34.854337,22.1,46.9
2024-01-09 00:17:34.857693,22.1,47.1
2024-01-09 00:18:34.861558,22.1,47
2024-01-09 00:19:34.865551,22.1,47.1
2024-01-09 00:20:34.869166,22.1,47.3
2024-01-09 00:21:34.872837,22,47.2
2024-01-09 00:22:34.875121,22.1,47.2
2024-01-09 00:23:34.878588,22.1,47.1
2024-01-09 00:24:34.883582,22.1,47
2024-01-09 00:25:34.887164,22.1,47.2
2024-01-09 00:26:34.890918,22.1,47.2
2024-01-09 00:27:34.894157,22.1,47.2
2024-01-09 00:28:34.897311,22,47.3
2024-01-09 00:29:34.901481,22,47.3
2024-01-09 00:30:34.904831,22,47.3
2024-01-09 00:31:34.908337,22,47.3
2024-01-09 00:32:34.911363,22,47.4
2024-01-09 00:33:34.914441,22,47.4
2024-01-09 00:34:34.918080,22,47.5
2024-01-09 00:35:34.921274,22,47.5
2024-01-09 00:36:34.924815,22,47.5
2024-01-09 00:37:34.928532,22,47.4
2024-01-09 00:38:34.931733,22.1,47.3
2024-01-09 00:39:34.935031,22.1,47.2
2024-01-09 00:40:34.939066,22.1,47.2
2024-01-09 00:41:34.942407,22.1,47.3
2024-01-09 00:42:34.945589,22,47.3
2024-01-09 00:43:34.949463,22,47.3
2024-01-09 00:44:34.952693,22,47.3
2024-01-09 00:45:34.955944,22,47.4
2024-01-09 00:46:34.958810,22,47.4
2024-01-09 00:47:34.962000,22,47.3
2024-01-09 00:48:34.964853,22,47.4
2024-01-09 00:49:34.969060,22,47.4
2024-01-09 00:50:34.972966,22,47.4
2024-01-09 00:51:34.975674,22,47.4
2024-01-09 00:52:34.978623,22,47.3
2024-01-09 00:53:34.981307,22,47.4
2024-01-09 00:54:34.984980,22,47.4
2024-01-09 00:55:34.988349,22,47.4
2024-01-09 00:56:34.992058,22,47.4
2024-01-09 00:57:34.994708,22,47
2024-01-09 00:58:34.998028,21.9,45.8
2024-01-09 00:59:35.001142,21.9,45.7
2024-01-09 01:00:35.004139,21.9,45.9
2024-01-09 01:01:35.006809,21.9,46.2
2024-01-09 01:02:35.009622,21.9,46.3
2024-01-09 01:03:35.012248,21.9,46.4
2024-01-09 01:04:35.016696,21.9,48.2
2024-01-09 01:05:35.019477,22,47.4
2024-01-09 01:06:35.022273,21.9,47.1
2024-01-09 01:07:35.024684,21.9,47.2
2024-01-09 01:08:35.027977,21.9,47.2
2024-01-09 01:09:35.030919,21.9,47.2
2024-01-09 01:10:35.033516,21.9,47.3
2024-01-09 01:11:35.036170,21.9,47.3
2024-01-09 01:12:35.038758,21.8,47.3
2024-01-09 01:13:35.041569,21.8,47.4
2024-01-09 01:14:35.044624,21.7,47.4
2024-01-09 01:15:35.047387,21.7,47.4
2024-01-09 01:16:35.049650,21.8,47.4
2024-01-09 01:17:35.052595,21.7,47.5
2024-01-09 01:18:35.055060,21.7,47.5
2024-01-09 01:19:35.057996,21.7,47.5
2024-01-09 01:20:35.060105,21.7,47.5
2024-01-09 01:21:35.064132,21.7,47.5
2024-01-09 01:22:35.066923,21.7,47.5
2024-01-09 01:23:35.069865,21.7,47.5
2024-01-09 01:24:35.072828,21.7,47.6
2024-01-09 01:25:35.075468,21.7,47.5
2024-01-09 01:26:35.077494,21.7,47.6
2024-01-09 01:27:35.079894,21.7,47.6
2024-01-09 01:28:35.082083,21.6,47.6
2024-01-09 01:29:35.084835,21.6,47.6
2024-01-09 01:30:35.087756,21.6,47.7
2024-01-09 01:31:35.089681,21.6,47.7
2024-01-09 01:32:35.093431,21.6,47.7
2024-01-09 01:33:35.096407,21.6,47.7
2024-01-09 01:34:35.098538,21.5,47.8
2024-01-09 01:35:35.100380,21.5,47.7
2024-01-09 01:36:35.103551,21.5,47.8
2024-01-09 01:37:35.106384,21.5,47.8
2024-01-09 01:38:35.109117,21.5,47.8
2024-01-09 01:39:35.111583,21.5,47.9
2024-01-09 01:40:35.113622,21.5,47.8
2024-01-09 01:41:35.116146,21.5,47.8
2024-01-09 01:42:35.118139,21.5,47.8
